STATE,District Name,Commodity,Modal_Price,Date,Price_per_kg,Price_display
Gujarat,gandhinagar,Potato,1000.0,31-Mar-2025,10.0,₹ 10.0 / kg
Gujarat,jamnagar,Onion,718.1818181818181,31-May-2025,7.18,₹ 7.18 / kg
Gujarat,kheda,Onion,1338.2183908045977,31-May-2025,13.38,₹ 13.38 / kg
Gujarat,kheda,Potato,1177.871794871795,31-May-2025,11.78,₹ 11.78 / kg
Gujarat,navsari,Onion,1337.9310344827586,31-May-2025,13.38,₹ 13.38 / kg
Gujarat,navsari,Potato,1666.5254237288136,31-May-2025,16.67,₹ 16.67 / kg
Gujarat,porbandar,Onion,1160.0,31-May-2025,11.6,₹ 11.6 / kg
Gujarat,porbandar,Potato,1466.3461538461538,31-May-2025,14.66,₹ 14.66 / kg
Gujarat,rajkot,Onion,673.6111111111111,31-May-2025,6.74,₹ 6.74 / kg
Gujarat,rajkot,Potato,803.0357142857143,31-May-2025,8.03,₹ 8.03 / kg
Gujarat,surat,Onion,1235.0,31-May-2025,12.35,₹ 12.35 / kg
Gujarat,surat,Potato,1335.0,31-May-2025,13.35,₹ 13.35 / kg
Gujarat,surendranagar,Onion,1250.0,31-May-2025,12.5,₹ 12.5 / kg
Gujarat,surendranagar,Potato,1593.75,31-May-2025,15.94,₹ 15.94 / kg
Haryana,ambala,Onion,955.9444444444443,31-May-2025,9.56,₹ 9.56 / kg
Haryana,ambala,Potato,752.7333333333333,31-May-2025,7.53,₹ 7.53 / kg
Haryana,bhiwani,Onion,964.3214285714286,31-May-2025,9.64,₹ 9.64 / kg
Haryana,bhiwani,Potato,1088.3333333333333,31-May-2025,10.88,₹ 10.88 / kg
Haryana,faridabad,Onion,1148.809523809524,31-May-2025,11.49,₹ 11.49 / kg
Haryana,faridabad,Potato,975.6410256410256,31-May-2025,9.76,₹ 9.76 / kg
Haryana,fatehabad,Onion,1141.2087912087911,31-May-2025,11.41,₹ 11.41 / kg
