STATE,District Name,Commodity,Date,Modal_Price
Bihar,samastipur,Onion,31-03-2025,2982.758620689656
Bihar,samastipur,Onion,30-04-2025,2106.896551724138
Bihar,samastipur,Onion,31-05-2025,1584.6153846153843
Bihar,samastipur,Onion,30-06-2025,1500.0
Bihar,sheohar,Onion,28-02-2025,3527.2727272727275
Bihar,sheohar,Onion,31-03-2025,3693.103448275862
Bihar,sheohar,Onion,30-04-2025,2325.0
Bihar,sheohar,Onion,31-05-2025,2170.3703703703704
Bihar,sheohar,Onion,30-06-2025,2587.5
Bihar,sheohar,Potato,31-01-2025,2176.470588235294
Bihar,sheohar,Potato,28-02-2025,1819.2307692307693
Bihar,sheohar,Potato,31-03-2025,1592.5925925925926
Bihar,sheohar,Potato,30-04-2025,1635.7142857142858
Bihar,sheohar,Potato,31-05-2025,1918.5185185185185
Bihar,sheohar,Potato,30-06-2025,1975.0
Bihar,vaishali,Potato,31-01-2025,2785.714285714286
Bihar,vaishali,Potato,28-02-2025,2600.0
Chandigarh,chandigarh,Onion,28-02-2025,2360.0
Chandigarh,chandigarh,Onion,31-03-2025,2085.0
Chandigarh,chandigarh,Onion,30-04-2025,1379.1666666666667
Chandigarh,chandigarh,Onion,31-05-2025,1064.7058823529412
Chandigarh,chandigarh,Onion,30-06-2025,1166.6666666666667
Chandigarh,chandigarh,Potato,31-01-2025,842.8571428571429
Chandigarh,chandigarh,Potato,28-02-2025,611.7647058823529
Chandigarh,chandigarh,Potato,31-03-2025,530.0
Chandigarh,chandigarh,Potato,30-04-2025,454.1666666666667
Chandigarh,chandigarh,Potato,31-05-2025,558.8235294117648
Chandigarh,chandigarh,Potato,30-06-2025,866.6666666666666
Chattisgarh,dhamtari,Onion,31-05-2025,1287.5
Chattisgarh,dhamtari,Potato,31-05-2025,1712.5
Chattisgarh,durg,Onion,28-02-2025,2244.4444444444443
Chattisgarh,durg,Onion,31-03-2025,1995.0
Chattisgarh,durg,Onion,30-04-2025,1658.3333333333333
Chattisgarh,durg,Onion,31-05-2025,1447.6190476190477
Chattisgarh,durg,Onion,30-06-2025,1328.571428571429
Chattisgarh,durg,Potato,31-01-2025,2260.0
Chattisgarh,durg,Potato,28-02-2025,2042.857142857143
Chattisgarh,durg,Potato,31-03-2025,1860.0
Chattisgarh,durg,Potato,30-04-2025,1900.0
Chattisgarh,durg,Potato,31-05-2025,1828.571428571429
Chattisgarh,durg,Potato,30-06-2025,1757.142857142857
Chattisgarh,rajnandgaon,Onion,28-02-2025,2205.555555555556
Chattisgarh,rajnandgaon,Onion,31-03-2025,1890.0
Chattisgarh,rajnandgaon,Onion,30-04-2025,1117.391304347826
Chattisgarh,rajnandgaon,Onion,31-05-2025,1004.1666666666666
Chattisgarh,rajnandgaon,Onion,30-06-2025,1028.571428571429
Chattisgarh,rajnandgaon,Potato,31-01-2025,1931.428571428572
Chattisgarh,rajnandgaon,Potato,28-02-2025,1550.0
Chattisgarh,rajnandgaon,Potato,31-03-2025,1500.0
Chattisgarh,rajnandgaon,Potato,30-04-2025,1489.655172413793
Chattisgarh,rajnandgaon,Potato,31-05-2025,1676.3157894736842
Chattisgarh,rajnandgaon,Potato,30-06-2025,1450.0
Chhattisgarh,bilaspur,Onion,28-02-2025,3072.0
Chhattisgarh,bilaspur,Onion,31-03-2025,2968.8888888888887
Chhattisgarh,bilaspur,Onion,30-04-2025,2183.870967741936
Chhattisgarh,bilaspur,Onion,31-05-2025,1582.3529411764705
Chhattisgarh,bilaspur,Onion,30-06-2025,1433.3333333333333
Chhattisgarh,bilaspur,Potato,31-01-2025,1989.1304347826087
Chhattisgarh,bilaspur,Potato,28-02-2025,1637.9310344827586
Chhattisgarh,bilaspur,Potato,31-03-2025,1601.3513513513512
Chhattisgarh,bilaspur,Potato,30-04-2025,1452.0833333333333
Chhattisgarh,bilaspur,Potato,31-05-2025,1370.0
Chhattisgarh,bilaspur,Potato,30-06-2025,1460.0
Delhi,delhi,Onion,28-02-2025,2580.285714285714
Delhi,delhi,Onion,31-03-2025,1974.79104477612
